epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rarecl_latent_loss,train_rarecl_region_loss,train_rarecl_weighted_latent_loss,train_rarecl_weighted_region_loss,train_rarecl_hard_region_fraction,train_rarecl_sampled_hard_fraction,train_rarecl_latent_similarity,train_rarecl_region_positive_similarity
35,0.00007435,0.501104,0.146163,14.4458,0.328884,40,0,0.56234913,65536.0,0.217475,0.137008,14.2764,0.423855,0.146428,14.1545,0.411779,0.07903531,0.79111553,0.14616301,0.13700801,0.57780642,0.49767108,0.04240127,0.04011643,0.00484315,0.00502142,0.06577335,0.06165360,0.17334193,0.14930133,0.00636019,0.00601747,0.00048432,0.00050214,0.24595979,0.17481170,4.92806506,0.00874059,0.24640326,0.20000694,0.25312500,0.82518830,0.82266762
36,0.00007297,0.504299,0.145103,14.4231,0.316795,40,0,0.59933833,65536.0,0.213493,0.133269,14.5011,0.430881,0.142821,14.3381,0.422389,0.07914726,0.79641008,0.14510262,0.13326934,0.58961288,0.49008305,0.04232522,0.04016281,0.00459810,0.00472398,0.06529618,0.05997120,0.17688387,0.14702492,0.00634878,0.00602442,0.00045981,0.00047240,0.24898864,0.17453620,4.93167289,0.00872681,0.24658365,0.20000694,0.25026042,0.82546380,0.82302986
37,0.00007158,0.496324,0.140891,14.6033,0.337416,40,0,0.62193962,65536.0,0.213238,0.132679,14.5257,0.429454,0.141505,14.4160,0.420488,0.07880871,0.79721224,0.14089124,0.13267934,0.56833220,0.48990551,0.04192685,0.04036561,0.00450215,0.00505514,0.06340106,0.05970570,0.17049967,0.14697166,0.00628903,0.00605484,0.00045022,0.00050551,0.24063997,0.17535114,4.93832544,0.00876756,0.24691628,0.20000694,0.24993490,0.82464886,0.82227669
38,0.00007016,0.493475,0.139732,14.7187,0.333215,40,0,0.54987163,65536.0,0.212069,0.132067,14.6423,0.431834,0.141085,14.5116,0.421257,0.07807423,0.78999561,0.13973219,0.13206684,0.57429460,0.48703007,0.04129608,0.03996840,0.00495150,0.00535106,0.06287949,0.05943008,0.17228839,0.14610903,0.00619441,0.00599526,0.00049515,0.00053511,0.24185744,0.16971246,4.86264645,0.00848562,0.24313233,0.20000694,0.24928385,0.83028754,0.82712089
39,0.00006872,0.492206,0.138164,14.9418,0.334504,40,0,0.57738622,65536.0,0.214671,0.133129,14.5524,0.425816,0.142318,14.4118,0.411733,0.07979979,0.79307181,0.13816385,0.13312921,0.57261640,0.49394559,0.04111767,0.04047539,0.00346699,0.00507747,0.06217373,0.05990814,0.17178493,0.14818368,0.00616765,0.00607131,0.00034670,0.00050775,0.24047301,0.17114440,4.86351596,0.00855722,0.24317580,0.20000694,0.24703776,0.82885560,0.82672236
40,0.00006727,0.494576,0.138444,14.6753,0.333998,40,0,0.56523615,65536.0,0.210024,0.130516,14.5979,0.436635,0.139125,14.4912,0.426612,0.07793361,0.79401910,0.13844353,0.13051580,0.57158564,0.48226557,0.04231946,0.04004473,0.00494657,0.00605817,0.06229959,0.05873211,0.17147570,0.14467968,0.00634792,0.00600671,0.00049466,0.00060582,0.24061786,0.18011505,4.89905595,0.00900575,0.24495280,0.20000694,0.24860026,0.81988494,0.81866656
41,0.00006580,0.493416,0.135163,14.9706,0.336942,40,0,0.61209189,65536.0,0.219055,0.137163,14.4152,0.422302,0.147449,14.1965,0.405028,0.08033875,0.80119192,0.13516282,0.13716264,0.56952916,0.50241435,0.04157738,0.04016788,0.00417762,0.00582660,0.06082327,0.06172319,0.17085875,0.15072431,0.00623661,0.00602518,0.00041776,0.00058266,0.23833639,0.18129578,4.92030591,0.00906479,0.24601530,0.20000694,0.24371745,0.81870422,0.81582719
42,0.00006431,0.473169,0.130295,15.0985,0.363095,40,0,0.59607915,65536.0,0.209654,0.130410,14.5994,0.438519,0.139610,14.4562,0.425011,0.07855807,0.79531861,0.13029461,0.13041026,0.53504334,0.48121971,0.04126953,0.04005527,0.00432071,0.00595400,0.05863257,0.05868461,0.16051301,0.14436592,0.00619043,0.00600829,0.00043207,0.00059540,0.22576808,0.16997812,4.77804242,0.00849891,0.23890212,0.20000694,0.24557292,0.83002188,0.82775618
43,0.00006281,0.508167,0.144224,14.3383,0.316137,40,0,0.61212996,65536.0,0.208953,0.129352,14.6939,0.439400,0.139011,14.4966,0.425737,0.07720713,0.80467488,0.14422379,0.12935165,0.59489915,0.48069584,0.04159189,0.03960749,0.00473346,0.00594975,0.06490070,0.05820824,0.17846975,0.14420876,0.00623878,0.00594112,0.00047335,0.00059497,0.25008259,0.18274380,4.97894642,0.00913719,0.24894733,0.20000694,0.25022786,0.81725620,0.81309152
44,0.00006130,0.488017,0.135624,15.0699,0.329477,40,0,0.55658435,65536.0,0.210853,0.132047,14.6336,0.437787,0.142184,14.4439,0.416326,0.07813660,0.79803735,0.13562386,0.13204712,0.57621742,0.48332962,0.04059038,0.03977666,0.00343569,0.00466337,0.06103073,0.05942120,0.17286523,0.14499889,0.00608856,0.00596650,0.00034357,0.00046634,0.24032809,0.16519966,4.78858702,0.00825998,0.23942935,0.20000694,0.24277344,0.83480034,0.83257880
45,0.00005978,0.475174,0.134386,14.8370,0.385844,40,0,0.71804492,65536.0,0.208138,0.130438,14.7126,0.442670,0.140227,14.5434,0.422067,0.07803861,0.78623701,0.13438637,0.13043773,0.51629350,0.47651508,0.04148897,0.03983069,0.00531111,0.00511960,0.06047387,0.05869698,0.15488806,0.14295453,0.00622335,0.00597460,0.00053111,0.00051196,0.22211638,0.18094243,4.88021865,0.00904712,0.24401094,0.20000694,0.24840495,0.81905757,0.81444293
46,0.00005824,0.466501,0.124580,15.3908,0.369632,40,0,0.63271949,65536.0,0.204755,0.126790,14.8949,0.447264,0.136764,14.6602,0.427644,0.07751647,0.79532913,0.12458030,0.12679029,0.53180274,0.47081492,0.04015708,0.03960333,0.00439747,0.00514537,0.05606113,0.05705563,0.15954083,0.14124448,0.00602356,0.00594050,0.00043975,0.00051454,0.22206527,0.16601734,4.72270327,0.00830087,0.23613517,0.20000694,0.24088542,0.83398266,0.83175420
47,0.00005670,0.480329,0.131735,15.0128,0.343263,40,0,0.56960635,65536.0,0.203051,0.125543,14.9571,0.450461,0.135417,14.7503,0.429922,0.07711909,0.78306796,0.13173512,0.12554318,0.56154592,0.46694585,0.04166719,0.03953643,0.00497543,0.00542289,0.05928080,0.05649443,0.16846378,0.14008376,0.00625008,0.00593046,0.00049754,0.00054229,0.23449221,0.17041479,4.74632641,0.00852074,0.23731632,0.20000694,0.24869792,0.82958521,0.82629960
48,0.00005516,0.482655,0.131922,14.9501,0.349365,40,0,0.57299987,65536.0,0.204846,0.126894,14.9239,0.447046,0.136542,14.7168,0.427460,0.07744996,0.78729981,0.13192183,0.12689431,0.55449415,0.47100890,0.04099371,0.03963160,0.00483844,0.00495679,0.05936482,0.05710244,0.16634825,0.14130268,0.00614906,0.00594474,0.00048384,0.00049568,0.23234597,0.18235150,4.82382339,0.00911758,0.24119117,0.20000694,0.24736328,0.81764850,0.81525080
49,0.00005361,0.464666,0.123945,15.5593,0.391138,40,0,0.66445569,65536.0,0.204454,0.128975,14.7666,0.450754,0.138429,14.6061,0.429700,0.07718832,0.78756092,0.12394472,0.12897539,0.50784522,0.46666331,0.04058438,0.03970008,0.00486401,0.00461404,0.05577512,0.05803893,0.15235357,0.13999900,0.00608766,0.00595501,0.00048640,0.00046140,0.21470276,0.18212836,4.81712706,0.00910642,0.24085636,0.20000694,0.24036458,0.81787164,0.81505338
50,0.00005205,0.473743,0.125379,15.2928,0.352522,40,0,0.53828336,131072.0,0.202043,0.125928,14.9244,0.455274,0.135565,14.7145,0.437480,0.07641621,0.79307014,0.12537934,0.12592762,0.55113168,0.46304575,0.04072045,0.03936699,0.00407389,0.00556392,0.05642070,0.05666743,0.16533951,0.13891373,0.00610807,0.00590505,0.00040739,0.00055639,0.22827566,0.17017160,4.73918360,0.00850858,0.23695918,0.20000694,0.24814453,0.82982840,0.82648387
