epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency
48,0.00005516,0.208829,0.125010,15.4120,0.412061,40,0,0.46988714,65536.0,0.206980,0.130726,14.5831,0.450906,0.140308,14.4273,0.431616,0.07723630,0.79036910,0.12501039,0.13072621,0.48673576,0.47210479,0.04019431,0.03951472,0.00524905,0.00594766,0.05625467,0.05882679,0.14602073,0.14163144,0.00602915,0.00592721,0.00052491,0.00059477
49,0.00005361,0.199085,0.124782,15.2060,0.442603,40,0,0.41737183,65536.0,0.197333,0.123243,14.9300,0.467507,0.132150,14.7840,0.453408,0.07608006,0.78735812,0.12478195,0.12324284,0.45389468,0.45102802,0.04119373,0.03960345,0.00585424,0.00624399,0.05615188,0.05545927,0.13616841,0.13530841,0.00617906,0.00594052,0.00058542,0.00062440
50,0.00005205,0.220999,0.123358,15.3321,0.371571,40,0,0.43413228,131072.0,0.201971,0.127289,14.7134,0.459614,0.136539,14.5755,0.440341,0.07570906,0.79341782,0.12335757,0.12728931,0.52981337,0.46080972,0.04071251,0.03916933,0.00437614,0.00572198,0.05551090,0.05728019,0.15894402,0.13824292,0.00610688,0.00587540,0.00043761,0.00057220
51,0.00005050,0.212517,0.124008,15.4065,0.402808,40,0,0.42689909,131072.0,0.195857,0.122804,15.0888,0.469595,0.132215,14.8955,0.449800,0.07601846,0.78379022,0.12400773,0.12280371,0.50062679,0.44723268,0.04033090,0.03939365,0.00476197,0.00516172,0.05580348,0.05526167,0.15018804,0.13416981,0.00604964,0.00590905,0.00047620,0.00051617
52,0.00004895,0.210089,0.124454,15.3539,0.410283,40,0,0.45752068,131072.0,0.199161,0.125873,14.8440,0.464696,0.135322,14.6794,0.442861,0.07678877,0.78600197,0.12445447,0.12587275,0.49144653,0.45358831,0.04065759,0.03960635,0.00552101,0.00500649,0.05600451,0.05664274,0.14743397,0.13607650,0.00609864,0.00594095,0.00055210,0.00050065
53,0.00004739,0.217059,0.125586,15.3637,0.392638,40,0,0.40061247,131072.0,0.195796,0.122885,14.9170,0.471989,0.132422,14.7331,0.454168,0.07560248,0.79750300,0.12558605,0.12288518,0.51392768,0.44653191,0.03966120,0.03946402,0.00417445,0.00617991,0.05651372,0.05529833,0.15417831,0.13395958,0.00594918,0.00591960,0.00041744,0.00061799
54,0.00004584,0.220727,0.129106,15.2520,0.385568,40,0,0.40557432,131072.0,0.196660,0.123545,14.8733,0.470061,0.133002,14.7058,0.450388,0.07617375,0.79318541,0.12910607,0.12354509,0.52057873,0.44839734,0.04037269,0.03952713,0.00399931,0.00616918,0.05809773,0.05559529,0.15617363,0.13451921,0.00605590,0.00592907,0.00039993,0.00061692
55,0.00004430,0.222760,0.124295,15.5704,0.373500,40,0,0.41669490,131072.0,0.199295,0.124962,14.9562,0.464093,0.134533,14.7739,0.441213,0.07657437,0.78664362,0.12429462,0.12496207,0.53515240,0.45548244,0.03962127,0.03934457,0.00338628,0.00515330,0.05593258,0.05623293,0.16054573,0.13664474,0.00594319,0.00590169,0.00033863,0.00051533
56,0.00004276,0.220020,0.126195,15.3280,0.384965,40,0,0.40435848,131072.0,0.197285,0.123036,15.0901,0.466112,0.132512,14.9039,0.443841,0.07669323,0.78111646,0.12619450,0.12303605,0.52285689,0.45168915,0.03987058,0.03934626,0.00394840,0.00510011,0.05678752,0.05536622,0.15685707,0.13550675,0.00598059,0.00590194,0.00039484,0.00051001
57,0.00004122,0.228326,0.128153,15.2736,0.364259,40,0,0.44403036,131072.0,0.195478,0.122606,15.0203,0.472657,0.132043,14.8313,0.453171,0.07561193,0.79334434,0.12815338,0.12260561,0.54751419,0.44610761,0.03997369,0.03924355,0.00406389,0.00586159,0.05766902,0.05517252,0.16425426,0.13383229,0.00599605,0.00588653,0.00040639,0.00058616
58,0.00003970,0.220334,0.125086,15.2954,0.383533,40,0,0.40455974,131072.0,0.198145,0.123661,14.9485,0.465120,0.133380,14.7597,0.442439,0.07689555,0.78683908,0.12508565,0.12366149,0.52543398,0.45317374,0.04004854,0.03957565,0.00407518,0.00608610,0.05628854,0.05564767,0.15763020,0.13595213,0.00600728,0.00593635,0.00040752,0.00060861
59,0.00003819,0.222721,0.128194,15.1766,0.379667,40,0,0.44572629,131072.0,0.194455,0.121151,15.0461,0.473390,0.130743,14.8481,0.453277,0.07630493,0.79008999,0.12819368,0.12115131,0.52809829,0.44434813,0.04074454,0.03964467,0.00492369,0.00686203,0.05768716,0.05451809,0.15842949,0.13330444,0.00611168,0.00594670,0.00049237,0.00068620
