epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency
51,0.00005050,0.214761,0.124034,15.4435,0.395055,40,0,0.39957043,131072.0,0.198696,0.123080,15.1351,0.460812,0.132566,14.9009,0.444009,0.07586458,0.78690390,0.12403389,0.12308034,0.50789406,0.45624672,0.04065568,0.03927500,0.00478795,0.00544487,0.05581525,0.05538615,0.15236822,0.13687402,0.00609835,0.00589125,0.00047880,0.00054449
52,0.00004895,0.213212,0.124900,15.3596,0.400556,40,0,0.44336681,131072.0,0.200824,0.125883,14.8725,0.459556,0.135316,14.6935,0.440044,0.07655897,0.78682624,0.12489994,0.12588350,0.50099670,0.45921525,0.04093718,0.03940111,0.00567777,0.00501899,0.05620497,0.05664757,0.15029902,0.13776458,0.00614058,0.00591017,0.00056778,0.00050190
53,0.00004739,0.219101,0.125847,15.4227,0.385075,40,0,0.40038489,131072.0,0.197891,0.122749,14.9811,0.464543,0.132434,14.7612,0.448464,0.07533518,0.79651682,0.12584726,0.12274880,0.52026172,0.45388504,0.03990282,0.03922225,0.00405686,0.00604781,0.05663127,0.05523696,0.15607852,0.13616552,0.00598542,0.00588334,0.00040569,0.00060478
54,0.00004584,0.223651,0.129820,15.2225,0.376672,40,0,0.40620568,131072.0,0.199791,0.124319,14.8861,0.461329,0.133745,14.7170,0.442808,0.07571271,0.79001682,0.12982037,0.12431918,0.52903067,0.45779657,0.04073432,0.03929246,0.00412300,0.00614763,0.05841917,0.05594363,0.15870921,0.13733898,0.00611015,0.00589387,0.00041230,0.00061476
55,0.00004430,0.225804,0.125666,15.5164,0.365598,40,0,0.41551336,131072.0,0.203111,0.126600,14.9365,0.453966,0.136456,14.7215,0.431445,0.07679232,0.78517094,0.12566624,0.12659955,0.54310766,0.46577857,0.03990183,0.03925414,0.00336797,0.00519771,0.05654980,0.05696980,0.16293231,0.13973357,0.00598528,0.00588812,0.00033680,0.00051977
56,0.00004276,0.222845,0.126536,15.3530,0.375879,40,0,0.41295051,131072.0,0.198602,0.123536,15.1008,0.462342,0.133330,14.8672,0.442707,0.07609683,0.78339852,0.12653623,0.12353584,0.53164654,0.45541415,0.04021514,0.03906627,0.00377937,0.00527085,0.05694130,0.05559113,0.15949397,0.13662425,0.00603227,0.00585994,0.00037794,0.00052708
57,0.00004122,0.230309,0.128304,15.3149,0.357540,40,0,0.43864997,131072.0,0.197674,0.123365,15.0568,0.465948,0.133138,14.8211,0.447311,0.07510374,0.79256010,0.12830366,0.12336527,0.55374056,0.45247135,0.04026424,0.03895375,0.00410606,0.00575606,0.05773665,0.05551437,0.16612218,0.13574141,0.00603964,0.00584306,0.00041061,0.00057561
58,0.00003970,0.222018,0.124866,15.3718,0.376942,40,0,0.39106810,131072.0,0.198845,0.124067,15.0050,0.462627,0.133763,14.8025,0.441169,0.07632876,0.78197569,0.12486649,0.12406713,0.53118070,0.45513157,0.04044327,0.03922516,0.00407012,0.00591141,0.05618992,0.05583021,0.15935422,0.13653948,0.00606649,0.00588377,0.00040701,0.00059114
59,0.00003819,0.223915,0.128127,15.2664,0.375065,40,0,0.43130415,131072.0,0.196418,0.121790,15.0829,0.467345,0.131536,14.8569,0.448308,0.07598415,0.79207250,0.12812730,0.12179012,0.53210479,0.45023654,0.04105205,0.03939082,0.00468610,0.00632888,0.05765729,0.05480555,0.15963144,0.13507097,0.00615781,0.00590862,0.00046861,0.00063289
60,0.00003669,0.217143,0.124111,15.4090,0.387450,40,0,0.42445447,131072.0,0.197905,0.123615,15.0287,0.465431,0.133509,14.8079,0.443693,0.07592529,0.78689232,0.12411075,0.12361529,0.51619511,0.45291644,0.03984279,0.03901676,0.00458418,0.00551050,0.05584984,0.05562688,0.15485854,0.13587494,0.00597642,0.00585251,0.00045842,0.00055105
